year,word,frequency
1957,flea,2.473311
1957,fly,14.677728
1957,hawk,4.648911
1957,louse,2.546612
1957,mosquito,8.266378
1957,osprey,0.199686
1957,peregrine,0.390296
1957,robin,5.893536
1957,sparrowhawk,0.063919
1958,bedbug,0.198199
1958,condor,0.534279
1958,flea,2.412452
1958,fly,14.482747
1958,hawk,4.639751
1958,louse,2.47139
1958,mosquito,8.110308
1958,osprey,0.197733
1958,peregrine,0.380137
1958,robin,5.784187
1958,sparrowhawk,0.053386
1959,bedbug,0.200375
1959,condor,0.52541
1959,flea,2.354471
1959,fly,14.428703
1959,hawk,4.632586
1959,louse,2.392084
1959,mosquito,7.879108
1959,osprey,0.196338
1959,peregrine,0.368369
1959,robin,5.691824
1959,sparrowhawk,0.043278
1960,bedbug,0.200923
1960,condor,0.524023
1960,flea,2.304048
1960,fly,14.434748
1960,hawk,4.614275
1960,louse,2.306448
1960,mosquito,7.616612
1960,osprey,0.19601
1960,peregrine,0.363842
1960,robin,5.65778
1960,sparrowhawk,0.037157
1961,bedbug,0.200115
1961,condor,0.532729
1961,flea,2.260397
1961,fly,14.418778
1961,hawk,4.584095
1961,louse,2.219564
1961,mosquito,7.365676
1961,osprey,0.196046
1961,peregrine,0.37222
1961,robin,5.684268
1961,sparrowhawk,0.035932
1962,bedbug,0.198084
1962,condor,0.551721
1962,flea,2.21669
1962,fly,14.324116
1962,hawk,4.55697
1962,louse,2.138921
1962,mosquito,7.133387
1962,osprey,0.195901
1962,peregrine,0.3931
1962,robin,5.746384
1962,sparrowhawk,0.038824
1963,bedbug,0.193784
1963,condor,0.582641
1963,flea,2.164583
1963,fly,14.132944
1963,hawk,4.556637
1963,louse,2.065284
1963,mosquito,6.892741
1963,osprey,0.196427
1963,peregrine,0.419944
1963,robin,5.822349
1963,sparrowhawk,0.043996
1964,bedbug,0.186389
1964,condor,0.629874
1964,flea,2.102588
1964,fly,13.859494
1964,hawk,4.599002
1964,louse,1.991286
1964,mosquito,6.609139
1964,osprey,0.198893
1964,peregrine,0.444522
1964,robin,5.906924
1964,sparrowhawk,0.049401
1965,bedbug,0.17713
1965,condor,0.694422
1965,flea,2.038258
1965,fly,13.538592
1965,hawk,4.681392
1965,louse,1.912542
1965,mosquito,6.298864
1965,osprey,0.204704
1965,peregrine,0.463414
1965,robin,5.993504
1965,sparrowhawk,0.053075
1966,bedbug,0.168776
1966,condor,0.767857
1966,flea,1.984114
1966,fly,13.214539
1966,hawk,4.791765
1966,louse,1.836802
1966,mosquito,6.026631
1966,osprey,0.215316
1966,peregrine,0.480218
1966,robin,6.075257
1966,sparrowhawk,0.054899
1967,bedbug,0.162811
1967,condor,0.833356
1967,flea,1.946642
1967,fly,12.915224
1967,hawk,4.9147
1967,louse,1.778184
1967,mosquito,5.840136
1967,osprey,0.231941
1967,peregrine,0.499503
1967,robin,6.153825
1967,sparrowhawk,0.056115
1968,bedbug,0.1586
1968,condor,0.876838
1968,flea,1.922234
1968,fly,12.661049
1968,hawk,5.035639
1968,louse,1.743748
1968,mosquito,5.740957
1968,osprey,0.254279
1968,peregrine,0.521429
1968,robin,6.239272
1968,sparrowhawk,0.058198
1969,bedbug,0.154358
1969,condor,0.897618
1969,flea,1.898648
1969,fly,12.453082
1969,hawk,5.143095
1969,louse,1.72865
1969,mosquito,5.692317
1969,osprey,0.279478
1969,peregrine,0.542749
1969,robin,6.33474
1969,sparrowhawk,0.062015
1970,bedbug,0.14931
1970,condor,0.904503
1970,flea,1.869034
1970,fly,12.29123
1970,hawk,5.233068
1970,louse,1.722385
1970,mosquito,5.671179
1970,osprey,0.30426
1970,peregrine,0.561787
1970,robin,6.430921
1970,sparrowhawk,0.067643
1971,bedbug,0.144257
1971,condor,0.904386
1971,flea,1.836624
1971,fly,12.166227
1971,hawk,5.310342
1971,louse,1.715276
1971,mosquito,5.664995
1971,osprey,0.32699
1971,peregrine,0.579388
1971,robin,6.521023
1971,sparrowhawk,0.074383
1972,bedbug,0.140298
1972,condor,0.903482
1972,flea,1.810065
1972,fly,12.072261
1972,hawk,5.375393
1972,louse,1.703534
1972,mosquito,5.65063
1972,osprey,0.347158
1972,peregrine,0.597413
1972,robin,6.611258
1972,sparrowhawk,0.080818
1973,bedbug,0.137688
1973,condor,0.909271
1973,flea,1.794533
1973,fly,11.998121
1973,hawk,5.418857
1973,louse,1.687045
1973,mosquito,5.602224
1973,osprey,0.363798
1973,peregrine,0.616415
1973,robin,6.716259
1973,sparrowhawk,0.08512
1974,bedbug,0.135661
1974,condor,0.930661
1974,flea,1.790905
1974,fly,11.933181
1974,hawk,5.431709
1974,louse,1.669117
1974,mosquito,5.521335
1974,osprey,0.375647
1974,peregrine,0.637287
1974,robin,6.837525
1974,sparrowhawk,0.086013
1975,bedbug,0.133322
1975,condor,0.965858
1975,flea,1.797869
1975,fly,11.871212
1975,hawk,5.419938
1975,louse,1.654586
1975,mosquito,5.436083
1975,osprey,0.382836
1975,peregrine,0.660561
1975,robin,6.965821
1975,sparrowhawk,0.083602
1976,bedbug,0.130635
1976,condor,1.00108
1976,flea,1.812043
1976,fly,11.810316
1976,hawk,5.407176
1976,louse,1.647735
1976,mosquito,5.362807
1976,osprey,0.387712
1976,peregrine,0.687075
1976,robin,7.091059
1976,sparrowhawk,0.079645
1977,bedbug,0.128261
1977,condor,1.020721
1977,flea,1.82981
1977,fly,11.747825
1977,hawk,5.414973
1977,louse,1.648947
1977,mosquito,5.288787
1977,osprey,0.39312
1977,peregrine,0.717105
1977,robin,7.211539
1977,sparrowhawk,0.076507
1978,bedbug,0.126958
1978,condor,1.020566
1978,flea,1.849542
1978,fly,11.684403
1978,hawk,5.448383
1978,louse,1.652939
1978,mosquito,5.198383
1978,osprey,0.399844
1978,peregrine,0.749226
1978,robin,7.337735
1978,sparrowhawk,0.076086
1979,bedbug,0.12698
1979,condor,1.00939
1979,flea,1.873281
1979,fly,11.62748
1979,hawk,5.488281
1979,louse,1.652322
1979,mosquito,5.094576
1979,osprey,0.406646
1979,peregrine,0.780253
1979,robin,7.48216
1979,sparrowhawk,0.078441
1980,bedbug,0.127928
1980,condor,1.000471
1980,flea,1.901167
1980,fly,11.591205
1980,hawk,5.510953
1980,louse,1.64233
1980,mosquito,4.997442
1980,osprey,0.411745
1980,peregrine,0.804499
1980,robin,7.653299
1980,sparrowhawk,0.0823
1981,bedbug,0.129016
1981,condor,1.001358
1981,flea,1.929349
1981,fly,11.581202
1981,hawk,5.509468
1981,louse,1.624611
1981,mosquito,4.92012
1981,osprey,0.414867
1981,peregrine,0.819182
1981,robin,7.856697
1981,sparrowhawk,0.086024
1982,bedbug,0.129708
1982,condor,1.008299
1982,flea,1.952044
1982,fly,11.590671
1982,hawk,5.500961
1982,louse,1.602938
1982,mosquito,4.857578
1982,osprey,0.418756
1982,peregrine,0.827681
1982,robin,8.093642
1982,sparrowhawk,0.089012
1983,bedbug,0.130012
1983,condor,1.011722
1983,flea,1.96507
1983,fly,11.597639
1983,hawk,5.523325
1983,louse,1.580441
1983,mosquito,4.796892
1983,osprey,0.428963
1983,peregrine,0.836558
1983,robin,8.355394
1983,sparrowhawk,0.09182
1984,bedbug,0.130622
1984,condor,1.007029
1984,flea,1.967206
1984,fly,11.586818
1984,hawk,5.612067
1984,louse,1.559689
1984,mosquito,4.729105
1984,osprey,0.45167
1984,peregrine,0.851595
1984,robin,8.618993
1984,sparrowhawk,0.095463
1985,bedbug,0.132184
1985,condor,0.996952
1985,flea,1.96059
1985,fly,11.560091
1985,hawk,5.774781
1985,louse,1.542911
1985,mosquito,4.657004
1985,osprey,0.488503
1985,peregrine,0.872551
1985,robin,8.858161
1985,sparrowhawk,0.09999
1986,bedbug,0.134519
1986,condor,0.989814
1986,flea,1.951991
1986,fly,11.533385
1986,hawk,5.973653
1986,louse,1.530557
1986,mosquito,4.591259
1986,osprey,0.533357
1986,peregrine,0.894675
1986,robin,9.05876
1986,sparrowhawk,0.103992
1987,bedbug,0.136748
1987,condor,0.989318
1987,flea,1.95116
1987,fly,11.517194
1987,hawk,6.140515
1987,louse,1.519794
1987,mosquito,4.544523
1987,osprey,0.575076
1987,peregrine,0.911731
1987,robin,9.234613
1987,sparrowhawk,0.105606
1988,bedbug,0.137853
1988,condor,0.995055
1988,flea,1.963224
1988,fly,11.500685
1988,hawk,6.217782
1988,louse,1.506637
1988,mosquito,4.523192
1988,osprey,0.604129
1988,peregrine,0.919283
1988,robin,9.415375
1988,sparrowhawk,0.104209
1989,bedbug,0.137546
1989,condor,1.003122
1989,flea,1.987066
1989,fly,11.46255
1989,hawk,6.200589
1989,louse,1.490664
1989,mosquito,4.523292
1989,osprey,0.616112
1989,peregrine,0.917448
1989,robin,9.626883
1989,sparrowhawk,0.100823
1990,bedbug,0.136101
1990,condor,1.008299
1990,flea,2.017014
1990,fly,11.397697
1990,hawk,6.136869
1990,louse,1.476077
1990,mosquito,4.527278
1990,osprey,0.611633
1990,peregrine,0.911378
1990,robin,9.876158
1990,sparrowhawk,0.097331
1991,bedbug,0.133967
1991,condor,1.004789
1991,flea,2.051729
1991,fly,11.320547
1991,hawk,6.086542
1991,louse,1.468735
1991,mosquito,4.511406
1991,osprey,0.595225
1991,peregrine,0.907973
1991,robin,10.147427
1991,sparrowhawk,0.094941
1992,bedbug,0.131719
1992,condor,0.988831
1992,flea,2.095431
1992,fly,11.250221
1992,hawk,6.082416
1992,louse,1.471898
1992,mosquito,4.464616
1992,osprey,0.574836
1992,peregrine,0.911729
1992,robin,10.413116
1992,sparrowhawk,0.0944
1993,bedbug,0.129925
1993,condor,0.963331
1993,flea,2.153072
1993,fly,11.198178
1993,hawk,6.117854
1993,louse,1.485457
1993,mosquito,4.397323
1993,osprey,0.559134
1993,peregrine,0.923699
1993,robin,10.645039
1993,sparrowhawk,0.095726
1994,bedbug,0.129168
1994,condor,0.936599
1994,flea,2.221923
1994,fly,11.174132
1994,hawk,6.170071
1994,louse,1.508459
1994,mosquito,4.332894
1994,osprey,0.552285
1994,peregrine,0.939018
1994,robin,10.822748
1994,sparrowhawk,0.098522
1995,bedbug,0.129546
1995,condor,0.915893
1995,flea,2.291244
1995,fly,11.191278
1995,hawk,6.227512
1995,louse,1.540618
1995,mosquito,4.296647
1995,osprey,0.552118
1995,peregrine,0.950225
1995,robin,10.936978
1995,sparrowhawk,0.101402
1996,bedbug,0.130827
1996,condor,0.902177
1996,flea,2.351012
1996,fly,11.262747
1996,hawk,6.293162
1996,louse,1.580382
1996,mosquito,4.302798
1996,osprey,0.553442
1996,peregrine,0.952157
1996,robin,10.996146
1996,sparrowhawk,0.102749
1997,bedbug,0.132706
1997,condor,0.892492
1997,flea,2.39903
1997,fly,11.381177
1997,hawk,6.371215
1997,louse,1.622127
1997,mosquito,4.357463
1997,osprey,0.553382
1997,peregrine,0.943324
1997,robin,11.024454
1997,sparrowhawk,0.102017
1998,bedbug,0.135045
1998,condor,0.886893
1998,flea,2.438712
1998,fly,11.510638
1998,hawk,6.458802
1998,louse,1.657288
1998,mosquito,4.452122
1998,osprey,0.553115
1998,peregrine,0.927357
1998,robin,11.04429
1998,sparrowhawk,0.100187
1999,bedbug,0.137775
1999,condor,0.889911
1999,flea,2.468979
1999,fly,11.607641
1999,hawk,6.548748
1999,louse,1.679221
1999,mosquito,4.56485
1999,osprey,0.554633
1999,peregrine,0.908782
1999,robin,11.061251
1999,sparrowhawk,0.098687
2000,bedbug,0.140734
2000,condor,0.903144
2000,flea,2.483568
2000,fly,11.652706
2000,hawk,6.631326
2000,louse,1.687644
2000,mosquito,4.668551
2000,osprey,0.556785
2000,peregrine,0.890836
2000,robin,11.058558
2000,sparrowhawk,0.097912
2001,bedbug,0.143702
2001,condor,0.923394
2001,flea,2.47982
2001,fly,11.669309
2001,hawk,6.695795
2001,louse,1.687986
2001,mosquito,4.748002
2001,osprey,0.555702
2001,peregrine,0.873889
2001,robin,11.02146
2001,sparrowhawk,0.096991
2002,bedbug,0.146441
2002,condor,0.944849
2002,flea,2.465081
2002,fly,11.709662
2002,hawk,6.739003
2002,louse,1.686653
2002,mosquito,4.805382
2002,osprey,0.549576
2002,peregrine,0.855208
2002,robin,10.957665
2002,sparrowhawk,0.095117
2003,bedbug,0.149136
2003,condor,0.963942
2003,flea,2.452024
2003,fly,11.817136
2003,hawk,6.771247
2003,louse,1.687461
2003,mosquito,4.853412
2003,osprey,0.541016
2003,peregrine,0.831742
2003,robin,10.889806
2003,sparrowhawk,0.092649
2004,bedbug,0.152617
2004,condor,0.978275
2004,flea,2.449206
