year,word,frequency
1994,primate,4.416648
1994,rhesus,1.147473
1995,baboon,0.982461
1995,marmoset,0.200514
1995,primate,4.38569
1995,rhesus,1.098503
1996,baboon,0.992834
1996,marmoset,0.204755
1996,primate,4.377346
1996,rhesus,1.049565
1997,baboon,1.012101
1997,marmoset,0.210773
1997,primate,4.395985
1997,rhesus,1.006411
1998,baboon,1.031567
1998,marmoset,0.214783
1998,primate,4.429289
1998,rhesus,0.970829
1999,baboon,1.041157
1999,marmoset,0.21419
1999,primate,4.454459
1999,rhesus,0.939962
2000,baboon,1.035217
2000,marmoset,0.209446
2000,primate,4.454603
2000,rhesus,0.911051
2001,baboon,1.01598
2001,marmoset,0.203275
2001,primate,4.436942
2001,rhesus,0.885428
2002,baboon,0.992669
2002,marmoset,0.197778
2002,primate,4.422175
2002,rhesus,0.865442
2003,baboon,0.97608
2003,marmoset,0.193596
2003,primate,4.429267
2003,rhesus,0.851412
2004,baboon,0.971908
2004,marmoset,0.190791
2004,primate,4.459807
2004,rhesus,0.84143
2005,baboon,0.978229
2005,marmoset,0.190288
2005,primate,4.502376
2005,rhesus,0.834545
2006,baboon,0.990412
2006,marmoset,0.193313
2006,primate,4.543981
2006,rhesus,0.832484
2007,baboon,1.005103
2007,marmoset,0.199631
2007,primate,4.578139
2007,rhesus,0.837561
2008,baboon,1.024662
2008,marmoset,0.208298
2008,primate,4.622131
2008,rhesus,0.857905
2009,baboon,1.053107
2009,marmoset,0.218477
2009,primate,4.712925
2009,rhesus,0.904874
2010,baboon,1.088547
2010,marmoset,0.229199
2010,primate,4.867084
2010,rhesus,0.981008
2011,baboon,1.119763
2011,marmoset,0.23752
2011,primate,5.031984
2011,rhesus,1.062251
2012,baboon,1.12978
2012,marmoset,0.238718
2012,primate,5.099009
2012,rhesus,1.101813
2013,baboon,1.111067
2013,marmoset,0.23061
2013,primate,4.997432
2013,rhesus,1.065614
2014,baboon,1.073447
2014,marmoset,0.218559
2014,primate,4.758502
2014,rhesus,0.963336
2015,baboon,1.034357
2015,marmoset,0.211815
2015,primate,4.4762
2015,rhesus,0.838187
2016,baboon,1.002171
2016,marmoset,0.215373
2016,primate,4.212717
2016,rhesus,0.730317
2017,baboon,0.973151
2017,marmoset,0.225815
2017,primate,3.980776
2017,rhesus,0.65477
2018,baboon,0.942342
2018,marmoset,0.234679
2018,primate,3.787361
2018,rhesus,0.607227
2019,baboon,0.91139
2019,marmoset,0.236043
2019,primate,3.651318
2019,rhesus,0.578402
